[
{'item_id': 504, 'unique_name': 'White_Potion', 'name': 'White Potion'},
{'item_id': 505, 'unique_name': 'Blue_Potion', 'name': 'Blue Potion'}, 
{'item_id': 506, 'unique_name': 'Green_Potion', 'name': 'Green Potion'},
{'item_id': 547, 'unique_name': 'White_Slim_Potion', 'name': 'Condensed White Potion'},
{'item_id': 1061, 'unique_name': 'Starsand_Of_Witch', 'name': 'Witch Starsand'},
{'item_id': 12016, 'unique_name': 'Speed_Up_Potion', 'name': 'Speed Potion'},
{'item_id': 602, 'unique_name': 'Wing_Of_Butterfly', 'name': 'Butterfly Wing'}, 
{'item_id': 605, 'unique_name': 'Anodyne', 'name': 'Anodyne'},
{'item_id': 606, 'unique_name': 'Aloebera', 'name': 'Aloevera'},
{'item_id': 607, 'unique_name': 'Yggdrasilberry', 'name': 'Yggdrasil Berry'},
{'item_id': 608, 'unique_name': 'Seed_Of_Yggdrasil', 'name': 'Yggdrasil Seed'},
{'item_id': 645, 'unique_name': 'Center_Potion', 'name': 'Concentration Potion'}, 
{'item_id': 656, 'unique_name': 'Awakening_Potion', 'name': 'Awakening Potion'},
{'item_id': 657, 'unique_name': 'Berserk_Potion', 'name': 'Berserk Potion'},
{'item_id': 662, 'unique_name': 'Inspector_Certificate', 'name': 'Authoritative Badge'},
{'item_id': 518, 'unique_name': 'Honey', 'name': 'Honey'},
{'item_id': 520, 'unique_name': 'Leaflet_Of_Hinal', 'name': 'Hinalle Leaflet'}, 
{'item_id': 521, 'unique_name': 'Leaflet_Of_Aloe', 'name': 'Aloe Leaflet'}, 
{'item_id': 522, 'unique_name': 'Fruit_Of_Mastela', 'name': 'Mastela Fruit'}, 
{'item_id': 523, 'unique_name': 'Holy_Water', 'name': 'Holy Water'}, 
{'item_id': 525, 'unique_name': 'Panacea', 'name': 'Panacea'}, 
{'item_id': 526, 'unique_name': 'Royal_Jelly', 'name': 'Royal Jelly'},
{'item_id': 678, 'unique_name': 'Poison_Bottle', 'name': 'Poison Bottle'},
{'item_id': 12027, 'unique_name': 'Giggling_Box', 'name': 'Giggling Box'}, 
{'item_id': 12028, 'unique_name': 'Box_Of_Thunder', 'name': 'Box of Thunder'}, 
{'item_id': 12029, 'unique_name': 'Gloomy_Box', 'name': 'Box of Gloom'}, 
{'item_id': 12030, 'unique_name': 'Box_Of_Grudge', 'name': 'Box of Resentment'}, 
{'item_id': 12031, 'unique_name': 'Sleepy_Box', 'name': 'Box of Drowsiness'}, 
{'item_id': 12032, 'unique_name': 'Box_Of_Storm', 'name': 'Box of Storms'}, 
{'item_id': 12033, 'unique_name': 'Box_Of_Sunlight', 'name': 'Box of Sunlight'}, 
{'item_id': 12034, 'unique_name': 'Painting_Box', 'name': 'Box of Panting'},
{'item_id': 578, 'unique_name': 'Strawberry', 'name': 'Strawberry'},
{'item_id': 715, 'unique_name': 'Yellow_Gemstone', 'name': 'Yellow Gemstone'}, {'item_id': 716, 'unique_name': 'Red_Gemstone', 'name': 'Red Gemstone'}, {'item_id': 717, 'unique_name': 'Blue_Gemstone', 'name': 'Blue Gemstone'},
{'item_id': 7135, 'unique_name': 'Fire_Bottle', 'name': 'Bottle Grenade'}, {'item_id': 7136, 'unique_name': 'Acid_Bottle', 'name': 'Acid Bottle'}, {'item_id': 7139, 'unique_name': 'Coating_Bottle', 'name': 'Glistening Coat'},
{'item_id': 1025, 'unique_name': 'Spiderweb', 'name': 'Cobweb'},

{'item_id': 12041, 'unique_name': 'Str_Dish01', 'name': 'Fried Grasshopper Legs'}, 
{'item_id': 12042, 'unique_name': 'Str_Dish02', 'name': 'Seasoned Sticky Webfoot'}, 
{'item_id': 12043, 'unique_name': 'Str_Dish03', 'name': 'Bomber Steak'}, 
{'item_id': 12044, 'unique_name': 'Str_Dish04', 'name': 'Herb Marinade Beef'}, 
{'item_id': 12045, 'unique_name': 'Str_Dish05', 'name': "Lutie Lady's Pancake"}, 
{'item_id': 12046, 'unique_name': 'Int_Dish01', 'name': 'Grape Juice Herbal Tea'}, 
{'item_id': 12047, 'unique_name': 'Int_Dish02', 'name': 'Autumn Red Tea'}, 
